time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.185849,2.87826,9.48742
0.00997947,-0.20201,2.86121,9.47261
0.0199589,-0.225503,2.8847,9.44313
0.0299384,-0.239419,2.89622,9.42353
0.0399179,-0.244656,2.93692,9.41829
0.0498973,-0.222959,2.96805,9.39465
0.0598768,-0.225203,2.98002,9.38253
0.0698563,-0.213681,2.99214,9.39719
0.0798357,-0.182258,2.99723,9.37639
0.0898152,-0.14844,2.98092,9.37265
0.0997947,-0.148889,2.94455,9.31774
0.109774,-0.142903,2.90146,9.28946
0.119754,-0.138115,2.88949,9.29454
0.129733,-0.148739,2.8826,9.33973
0.139713,-0.153976,2.87078,9.36607
0.149692,-0.153228,2.87123,9.43311
0.159671,-0.170137,2.83053,9.46169
0.169651,-0.17717,2.85013,9.54055
0.17963,-0.170436,2.80749,9.5793
0.18961,-0.149338,2.79836,9.60384
0.199589,-0.17717,2.79297,9.56972
0.209569,-0.193929,2.78788,9.57167
0.219548,-0.193032,2.79477,9.53097
0.229528,-0.2059,2.81332,9.46573
0.239507,-0.225203,2.85597,9.44822
0.249487,-0.229842,2.85582,9.44089
0.259466,-0.232685,2.89413,9.44044
0.269446,-0.230441,2.9061,9.44044
0.279425,-0.247799,2.94425,9.44448
0.289405,-0.223109,2.97059,9.40183
0.299384,-0.241364,2.95817,9.37265
0.309363,-0.233433,2.95802,9.34422
0.319343,-0.228047,2.95787,9.31789
0.329322,-0.231787,2.96056,9.37295
0.339302,-0.244058,2.94381,9.39196
0.349281,-0.23074,2.95144,9.43056
0.359261,-0.238521,2.92525,9.46408
0.36924,-0.209192,2.89936,9.4578
0.37922,-0.189141,2.88739,9.42727
0.389199,-0.18136,2.84924,9.42054
0.399179,-0.154724,2.83038,9.41904
0.409158,-0.172082,2.83278,9.44014
0.419138,-0.169987,2.83756,9.44972
0.429117,-0.203356,2.85387,9.43909
0.439097,-0.191834,2.88739,9.43685
0.449076,-0.172382,2.91388,9.40842
0.459055,-0.152929,2.91642,9.39929
0.469035,-0.160261,2.93303,9.39181
0.479014,-0.158166,2.93558,9.40617
0.488994,-0.141556,2.93827,9.41141
0.498973,-0.141556,2.9453,9.40423
0.508953,-0.109833,2.948,9.38103
0.518932,-0.104147,2.92869,9.3526
0.528912,-0.120458,2.93797,9.33285
