time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.0706286,2.34197,9.56374
0.00997352,-0.0909792,2.3683,9.59427
0.019947,-0.11941,2.35349,9.59352
0.0299206,-0.114023,2.34152,9.57706
0.0398941,-0.149188,2.34795,9.5401
0.0498676,-0.134374,2.35992,9.51885
0.0598411,-0.151283,2.34301,9.53291
0.0698147,-0.146943,2.35992,9.5401
0.0797882,-0.161757,2.33837,9.57107
0.0897617,-0.145447,2.33643,9.58828
0.0997352,-0.145148,2.34825,9.57377
0.109709,-0.157717,2.37444,9.58529
0.119682,-0.15263,2.37204,9.57107
0.129656,-0.13617,2.36755,9.58349
0.139629,-0.124348,2.35349,9.59831
0.149603,-0.121206,2.34616,9.57197
0.159576,-0.113275,2.31264,9.56284
0.16955,-0.125246,2.32685,9.55297
0.179523,-0.142155,2.31713,9.56449
0.189497,-0.12764,2.34107,9.54309
0.19947,-0.0966654,2.35828,9.54144
0.209444,-0.117315,2.33389,9.51945
0.219418,-0.130483,2.33164,9.56703
0.229391,-0.131232,2.32955,9.6007
0.239365,-0.167593,2.33389,9.61881
0.249338,-0.167593,2.33389,9.61881
0.259312,-0.146195,2.36995,9.60235
0.269285,-0.152181,2.35768,9.56149
0.279259,-0.125396,2.33882,9.55521
0.289232,-0.125396,2.33882,9.55521
0.299206,-0.14021,2.34586,9.56673
0.309179,-0.14021,2.34586,9.56673
0.319153,-0.136768,2.35828,9.61701
0.329126,-0.136768,2.35828,9.61701
0.3391,-0.106841,2.32012,9.58693
0.349073,-0.106841,2.32012,9.58693
0.359047,-0.0891836,2.3273,9.54429
0.36902,-0.0891836,2.3273,9.54429
0.378994,-0.0914281,2.33433,9.53935
0.388967,-0.0914281,2.33433,9.53935
0.398941,-0.0843952,2.31548,9.55401
0.408914,-0.0843952,2.31548,9.55401
0.418888,-0.0966654,2.30351,9.57302
0.428862,-0.0966654,2.30351,9.57302
0.438835,-0.0900814,2.30126,9.59471
0.448809,-0.11537,2.33239,9.63212
0.458782,-0.0956179,2.33718,9.60863
0.468756,-0.0956179,2.33718,9.60863
0.478729,-0.0975632,2.33703,9.58708
0.488703,-0.0796068,2.31548,9.55177
0.498676,-0.0833477,2.33419,9.4988
0.50865,-0.0760155,2.32476,9.50149
0.518623,-0.0981618,2.34361,9.51271
0.528597,-0.0944208,2.36306,9.54623
0.53857,-0.137816,2.34346,9.56928
0.548544,-0.178666,2.3502,9.57287
0.558517,-0.169539,2.34571,9.59471
0.568491,-0.169539,2.35753,9.58738
0.578464,-0.14814,2.33643,9.6025
0.588438,-0.143801,2.33433,9.6218
0.598411,-0.162506,2.3077,9.61911
0.608385,-0.1649,2.3267,9.60698
0.618358,-0.142903,2.32925,9.58828
0.628332,-0.125246,2.33404,9.54803
0.638305,-0.120308,2.2887,9.56763
0.648279,-0.121206,2.3056,9.59382
0.658253,-0.135721,2.28166,9.61521
0.668226,-0.143801,2.32715,9.62674
0.6782,-0.136918,2.3059,9.64858
0.688173,-0.143352,2.34122,9.59786
0.698147,-0.151881,2.35035,9.55446
0.70812,-0.180163,2.33329,9.54668
0.718094,-0.181061,2.38117,9.5582
0.728067,-0.140359,2.42696,9.53261
0.738041,-0.130184,2.40077,9.52349
0.748014,-0.112976,2.38895,9.50718
0.757988,-0.0978625,2.36262,9.49102
0.767961,-0.0543182,2.3297,9.49012
0.777935,-0.0665884,2.32251,9.50897
0.787908,-0.0598547,2.32266,9.52349
0.797882,-0.0983114,2.308,9.53935
0.807855,-0.101304,2.31279,9.56075
0.817829,-0.121505,2.33673,9.58888
0.827802,-0.141108,2.31758,9.61716
0.837776,-0.138863,2.34152,9.61477
0.847749,-0.124947,2.36321,9.6197
0.857723,-0.118812,2.33912,9.5793
0.867697,-0.125545,2.34122,9.55521
0.87767,-0.108636,2.32715,9.56045
0.887644,-0.0966654,2.33194,9.55356
0.897617,-0.0691322,2.29633,9.52828
0.907591,-0.0936727,2.27942,9.5588
0.917564,-0.0917274,2.29154,9.56838
0.927538,-0.0993589,2.28914,9.58978
0.937511,-0.111779,2.30351,9.60369
0.947485,-0.114023,2.27717,9.60624
0.957458,-0.11941,2.28436,9.62763
0.967432,-0.145746,2.28406,9.63167
0.977405,-0.142903,2.29348,9.60773
0.987379,-0.166546,2.31219,9.58544
0.997352,-0.169838,2.36247,9.59696
1.00733,-0.207846,2.38566,9.57421
1.0173,-0.184652,2.39808,9.59397
1.02727,-0.190338,2.38327,9.54354
1.03725,-0.163254,2.33104,9.53755
1.04722,-0.165349,2.29992,9.54728
1.05719,-0.130483,2.29348,9.58648
1.06717,-0.149338,2.25982,9.59591
1.07714,-0.140659,2.29363,9.61506
1.08711,-0.150684,2.32461,9.61686
1.09709,-0.146345,2.34616,9.61925
1.10706,-0.186298,2.35498,9.58948
1.11703,-0.15263,2.35065,9.5808
1.12701,-0.145297,2.34346,9.57855
1.13698,-0.140659,2.35558,9.5787
1.14696,-0.109085,2.33912,9.57002
1.15693,-0.102052,2.33209,9.57975
1.1669,-0.0993589,2.32251,9.57272
1.17688,-0.0936727,2.32715,9.53456
1.18685,-0.077063,2.31309,9.54952
1.19682,-0.0914281,2.30575,9.55401
1.2068,-0.0827492,2.30366,9.58768
1.21677,-0.110133,2.33942,9.61073
1.22674,-0.115669,2.33957,9.63931
1.23672,-0.105344,2.33478,9.61327
1.24669,-0.075417,2.31339,9.57586
1.25666,-0.0629971,2.29184,9.56913
1.26664,-0.0793075,2.28914,9.55192
1.27661,-0.0589569,2.31368,9.58589
1.28658,-0.0697308,2.29962,9.64559
1.29656,-0.0746688,2.29244,9.65517
1.30653,-0.0725739,2.30201,9.65981
1.31651,-0.0860412,2.29917,9.62838
1.32648,-0.0703293,2.28226,9.57855
1.33645,-0.0748184,2.30126,9.56164
1.34643,-0.0615007,2.33029,9.58574
1.3564,-0.0691322,2.35663,9.58768
1.36637,-0.0897821,2.368,9.55117
1.37635,-0.113275,2.39613,9.51915
1.38632,-0.0954683,2.40556,9.46932
1.39629,-0.128987,2.4099,9.46827
1.40627,-0.112527,2.42935,9.47096
1.41624,-0.100257,2.44372,9.45211
1.42621,-0.0954683,2.43893,9.45226
1.43619,-0.0884354,2.43908,9.45959
1.44616,-0.0809535,2.42726,9.45271
1.45613,-0.109684,2.41499,9.46169
1.46611,-0.0811032,2.38431,9.48174
1.47608,-0.0848441,2.37997,9.5392
1.48605,-0.105045,2.34182,9.6013
1.49603,-0.109833,2.31548,9.61088
1.506,-0.12764,2.29408,9.66564
1.51598,-0.12345,2.30396,9.68495
1.52595,-0.121206,2.30156,9.69213
1.53592,-0.138115,2.30141,9.69647
1.5459,-0.118662,2.32057,9.67537
1.55587,-0.110881,2.33478,9.64185
1.56584,-0.0790083,2.32072,9.6212
1.57582,-0.0764644,2.3493,9.59711
1.58579,-0.051924,2.3686,9.56404
1.59576,-0.0336683,2.3469,9.51675
1.60574,-0.0474349,2.3466,9.49491
1.61571,-0.050278,2.37055,9.497
1.62568,-0.0528218,2.41828,9.47979
1.63566,-0.0478838,2.40631,9.48249
1.64563,-0.070479,2.43728,9.50568
1.6556,-0.0923259,2.40377,9.53396
1.66558,-0.039953,2.39733,9.55222
1.67555,-0.078709,2.39703,9.56793
1.68553,-0.090231,2.39194,9.55326
1.6955,-0.101753,2.36067,9.55326
1.70547,-0.118812,2.3915,9.54773
1.71545,-0.120907,2.40332,9.53082
1.72542,-0.113574,2.4105,9.52379
1.73539,-0.108936,2.39628,9.53366
1.74537,-0.120757,2.38416,9.53815
1.75534,-0.142604,2.39838,9.54234
1.76531,-0.133326,2.36995,9.56434
1.77529,-0.169838,2.3695,9.58978
1.78526,-0.161159,2.39374,9.61372
1.79523,-0.158316,2.38895,9.5995
1.80521,-0.163104,2.37698,9.60429
1.81518,-0.140509,2.36022,9.57137
1.82515,-0.12345,2.34855,9.56479
1.83513,-0.104596,2.33688,9.58214
1.8451,-0.0945705,2.34167,9.56075
1.85508,-0.0909792,2.35154,9.60399
1.86505,-0.100107,2.32042,9.60145
1.87502,-0.0830484,2.33239,9.58514
1.885,-0.0966654,2.33912,9.55117
1.89497,-0.106392,2.34631,9.55326
1.90494,-0.12345,2.36755,9.55506
1.91492,-0.0953187,2.35858,9.58214
1.92489,-0.0915777,2.38521,9.61088
1.93486,-0.110582,2.39209,9.60549
1.94484,-0.0954683,2.35618,9.59172
1.95481,-0.0656906,2.32296,9.56643
1.96478,-0.0632964,2.32775,9.56164
1.97476,-0.0658402,2.3469,9.5591
1.98473,-0.0324712,2.38312,9.54294
1.9947,-0.0375588,2.38551,9.55476
2.00468,-0.0418983,2.37818,9.54279
2.01465,-0.0396538,2.38297,9.54758
2.02463,-0.0390552,2.37563,9.52364
2.0346,-0.0299274,2.36636,9.54548
2.04457,-0.0365114,2.36142,9.52857
2.05455,-0.0462378,2.37788,9.52349
2.06452,-0.0492305,2.36381,9.55701
2.07449,-0.0462378,2.36606,9.53306
2.08447,-0.0731724,2.35394,9.56359
2.09444,-0.0842455,2.36067,9.52498
2.10441,-0.103549,2.34137,9.53666
2.11439,-0.132878,2.33882,9.56464
2.12436,-0.129735,2.35124,9.62689
2.13433,-0.135122,2.36321,9.64335
2.14431,-0.132429,2.368,9.62913
2.15428,-0.0867894,2.36621,9.62075
2.16425,-0.085293,2.38237,9.55596
2.17423,-0.0577598,2.37055,9.50882
2.1842,-0.0665884,2.38686,9.475
2.19418,-0.0472852,2.37279,9.4756
2.20415,-0.0594058,2.3894,9.47276
2.21412,-0.0293288,2.39479,9.51182
2.2241,-0.0493802,2.38521,9.54967
2.23407,-0.0445918,2.39733,9.54489
2.24404,-0.0270843,2.34481,9.54339
2.25402,-0.0246901,2.3496,9.5386
2.26399,-0.00778112,2.33314,9.5392
2.27396,-0.00523729,2.3689,9.51735
2.28394,-0.0101753,2.3713,9.52199
2.29391,-0.0216973,2.34705,9.51481
2.30388,-0.00314237,2.35469,9.5368
2.31386,-0.0101753,2.33553,9.53905
2.32383,0.0160111,2.27149,9.57137
2.3338,0.0104746,2.26445,9.60728
2.34378,0.00927748,2.25997,9.65517
2.35375,-0.00763148,2.25997,9.67148
2.36373,-0.0344165,2.25967,9.68749
2.3737,-0.0523729,2.2447,9.64888
