time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-3.53233,6.1405,6.90769
0.00997942,-3.55028,6.15726,6.943
0.0199588,-3.55597,6.14484,6.89257
0.0299383,-3.51811,6.14723,6.81207
0.0399177,-3.50225,6.14289,6.84858
0.0498971,-3.50719,6.07376,6.88958
0.0598765,-3.51377,6.02887,6.98565
0.069856,-3.46394,5.96527,7.03533
0.0798354,-3.44703,5.97021,7.0262
0.0898148,-3.47367,5.98667,7.03248
0.0997942,-3.48295,6.01989,7.00091
0.109774,-3.52305,6.06747,7.04969
0.119753,-3.5434,6.06762,7.09713
0.129733,-3.55238,6.05057,7.08501
0.139712,-3.54146,6.03845,7.03757
0.149691,-3.51198,6.05775,6.99747
0.159671,-3.544,6.06164,6.93672
0.16965,-3.544,6.06164,6.93672
0.17963,-3.53382,6.12284,6.78079
0.189609,-3.52305,6.12972,6.73067
0.199588,-3.53921,6.1794,6.68203
0.209568,-3.53921,6.1794,6.68203
0.219547,-3.46694,6.08768,6.42107
0.229527,-3.46694,6.08768,6.42107
0.239506,-3.3562,6.02692,6.42675
0.249486,-3.26552,5.91859,6.4899
0.259465,-3.25924,5.84332,6.66542
0.269444,-3.33825,5.81743,6.86953
0.279424,-3.64351,5.99969,6.83391
0.289403,-3.64351,5.99969,6.83391
0.299383,-3.79299,6.08857,6.82928
0.309362,-3.88951,6.12972,6.74742
0.319342,-3.8717,6.23926,6.64881
0.329321,-3.8717,6.23926,6.64881
0.3393,-3.86841,6.28131,6.49289
0.34928,-3.92931,6.33802,6.50995
0.359259,-3.97271,6.30959,6.6337
0.369239,-3.97271,6.30959,6.6337
0.379218,-3.96268,6.262,6.64148
0.389198,-3.94757,6.27382,6.60347
0.399177,-3.9145,6.27442,6.61874
0.409156,-3.90896,6.21472,6.61934
0.419136,-3.82172,6.1821,6.59061
0.429115,-3.8325,6.15786,6.55933
0.439095,-3.82247,6.20559,6.51624
0.449074,-3.79913,6.20843,6.53838
0.459053,-3.80227,6.21576,6.56457
0.469033,-3.77324,6.13496,6.59225
0.479012,-3.76815,6.07286,6.60961
0.488992,-3.79913,6.06358,6.70717
0.498971,-3.88263,6.12987,6.75955
0.508951,-3.96343,6.18584,6.71151
0.51893,-4.00308,6.20574,6.56412
0.528909,-4.01506,6.27712,6.52731
0.538889,-4.04244,6.28116,6.47149
0.548868,-4.0773,6.24943,6.4468
0.558848,-4.10678,6.22055,6.49184
0.568827,-4.11576,6.24255,6.55364
0.578807,-4.04169,6.26021,6.54362
0.588786,-3.91914,6.23956,6.43917
0.598765,-3.80586,6.16863,6.34685
0.608745,-3.73898,6.0998,6.29402
0.618724,-3.70336,6.00732,6.35074
0.628704,-3.73404,5.96692,6.45084
0.638683,-3.83085,5.95001,6.59928
0.648663,-3.9766,5.98203,6.67425
0.658642,-4.07955,6.05461,6.63744
0.668621,-4.14045,6.13436,6.54182
0.678601,-4.18624,6.2237,6.41299
0.68858,-4.20958,6.33458,6.23911
0.69856,-4.25732,6.40954,6.0983
0.708539,-4.27587,6.4688,6.04234
0.718519,-4.28515,6.38755,6.0763
0.728498,-4.23517,6.33099,6.11147
0.738477,-4.21527,6.29522,6.10025
