time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-5.76476,5.94432,5.48718
0.00997719,-5.76476,5.94432,5.48718
0.0199544,-5.71867,5.95659,5.45471
0.0299316,-5.66899,5.96632,5.3769
0.0399087,-5.64984,5.9111,5.30837
0.0498859,-5.63877,5.88222,5.26333
0.0598631,-5.68006,5.89375,5.28368
0.0698403,-5.70311,5.89853,5.34054
0.0798175,-5.71688,5.94118,5.2967
0.0897947,-5.72286,5.95031,5.24387
0.0997719,-5.74276,5.99071,5.25016
0.109749,-5.72615,6.00837,5.34159
0.119726,-5.74591,5.994,5.37466
0.129703,-5.77164,5.97201,5.36209
0.139681,-5.73124,5.90527,5.31345
0.149658,-5.61782,5.89928,5.28053
0.159635,-5.60974,5.91589,5.23265
0.169612,-5.61752,5.99056,5.3133
0.179589,-5.74336,6.06388,5.43167
0.189567,-5.86352,6.12568,5.61258
0.199544,-5.96602,6.15666,5.77254
0.209521,-6.07376,6.15591,5.87265
0.219498,-6.10069,6.19856,5.87175
0.229475,-6.06478,6.17925,5.78421
0.239452,-5.91006,6.13975,5.64475
0.24943,-5.85319,6.0374,5.62305
0.259407,-5.66241,6.0142,5.37436
0.269384,-5.73842,6.14963,5.38094
0.279361,-5.7495,6.15172,5.34218
0.289338,-5.79499,6.19467,5.41506
0.299316,-5.94762,6.18913,5.59073
0.309293,-5.88297,6.29313,5.63233
0.31927,-5.95465,6.17596,5.78227
0.329247,-5.68231,6.15606,5.81115
0.339224,-5.59537,5.95435,5.88447
0.349202,-5.52175,5.92068,5.72855
0.359179,-5.42867,5.93864,5.7284
0.369156,-5.338,5.81294,5.70775
0.379133,-5.25719,5.81653,5.7266
0.38911,-5.2536,5.8915,5.83165
0.399087,-5.32962,5.84811,5.92816
0.409065,-5.27215,5.86397,6.01809
0.419042,-5.21365,5.84362,6.08214
0.429019,-5.09349,5.75922,6.10264
0.438996,-4.97887,5.67034,6.15666
0.448973,-4.94221,5.52758,6.20185
0.458951,-4.85991,5.47177,6.28819
0.468928,-4.77895,5.36807,6.35582
0.478905,-4.90091,5.3965,6.5297
0.488882,-4.9018,5.49272,6.61275
0.498859,-4.91093,5.60225,6.53988
0.508837,-4.88385,5.63981,6.39174
0.518814,-4.86559,5.62769,6.33966
0.528791,-4.8219,5.62335,6.31213
0.538768,-4.78928,5.61692,6.35134
0.548745,-4.77731,5.55332,6.48391
0.558722,-4.80289,5.56365,6.63879
0.5687,-4.76608,5.5813,6.68757
0.578677,-4.7607,5.56933,6.66872
0.588654,-4.75666,5.5427,6.61859
0.598631,-4.6968,5.51891,6.53419
0.608608,-4.64458,5.4809,6.47598
0.618586,-4.63515,5.50245,6.46641
0.628563,-4.56168,5.57996,6.45339
0.63854,-4.47339,5.58534,6.36705
0.648517,-4.47235,5.57068,6.33128
0.658494,-4.50661,5.53716,6.38096
0.668471,-4.55539,5.53028,6.51384
0.678449,-4.6133,5.53507,6.63205
0.688426,-4.62692,5.59028,6.66722
0.698403,-4.65011,5.67617,6.68757
0.70838,-4.68019,5.7073,6.72962
0.718357,-4.72239,5.80965,6.735
0.728335,-4.77117,5.79723,6.7793
0.738312,-4.83147,5.77045,6.81147
0.748289,-4.81367,5.69099,6.71435
0.758266,-4.6543,5.67049,6.5725
0.768243,-4.50167,5.65702,6.40895
0.778221,-4.35383,5.66495,6.22833
0.788198,-4.33677,5.68411,6.20948
