time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.323515,1.80297,9.62105
0.00998282,-0.324712,1.80028,9.57781
0.0199656,-0.346858,1.80492,9.60115
0.0299485,-0.351198,1.84831,9.65592
0.0399313,-0.385913,1.88393,9.68105
0.0499141,-0.385465,1.90996,9.65457
0.0598969,-0.384716,1.89784,9.63063
0.0698798,-0.374691,1.88363,9.61671
0.0798626,-0.364366,1.84532,9.60998
0.0898454,-0.36272,1.84083,9.64125
0.0998282,-0.352993,1.85041,9.62943
0.109811,-0.339975,1.85984,9.58185
0.119794,-0.358829,1.85714,9.57182
0.129777,-0.373045,1.84263,9.57391
0.13976,-0.393545,1.8522,9.6212
0.149742,-0.42841,1.8736,9.66564
0.159725,-0.457889,1.87106,9.70081
0.169708,-0.448761,1.8546,9.7228
0.179691,-0.476294,1.8356,9.78206
0.189674,-0.478239,1.80208,9.7846
0.199656,-0.46148,1.78786,9.7876
0.209639,-0.434845,1.79534,9.77383
0.219622,-0.448611,1.79504,9.74959
0.229605,-0.415242,1.80268,9.75034
0.239588,-0.395191,1.80986,9.71248
0.249571,-0.385165,1.81689,9.68629
0.259553,-0.383968,1.80701,9.64335
0.269536,-0.364964,1.83126,9.63646
0.279519,-0.37514,1.83844,9.66011
0.289502,-0.394143,1.85954,9.64514
0.299485,-0.396687,1.83814,9.65951
0.309468,-0.446367,1.78966,9.661
0.31945,-0.411801,1.86268,9.77398
0.329433,-0.365862,1.91386,9.82276
0.339416,-0.343417,1.88767,9.79957
0.349399,-0.340723,1.80597,9.73792
0.359382,-0.306905,1.76975,9.6432
0.369365,-0.293587,1.7934,9.57631
0.379347,-0.256627,1.82228,9.5196
0.38933,-0.278325,1.81958,9.52618
0.399313,-0.301369,1.87226,9.5612
0.409296,-0.31334,1.94663,9.62015
0.419279,-0.298077,1.97835,9.66355
0.429261,-0.31723,1.96368,9.66789
0.439244,-0.320522,1.9179,9.63227
0.449227,-0.320522,1.9179,9.63227
0.45921,-0.253036,1.84412,9.5579
0.469193,-0.253036,1.84412,9.5579
0.479176,-0.279522,1.7913,9.59352
0.489158,-0.279522,1.7913,9.59352
0.499141,-0.311843,1.88498,9.69018
0.509124,-0.311843,1.88498,9.69018
0.519107,-0.355836,1.89889,9.72011
0.52909,-0.350898,1.93705,9.69362
0.539073,-0.327854,1.91071,9.6417
0.549055,-0.330548,1.86477,9.58439
0.559038,-0.344464,1.83111,9.58663
0.569021,-0.357931,1.84323,9.63661
0.579004,-0.36257,1.84622,9.72744
0.588987,-0.416888,1.86029,9.7858
0.598969,-0.440381,1.84323,9.77577
0.608952,-0.422275,1.83829,9.72834
0.618935,-0.421826,1.85954,9.69707
0.628918,-0.377983,1.8528,9.67193
0.638901,-0.404169,1.83335,9.67372
0.648884,-0.39549,1.82662,9.71233
0.658866,-0.383968,1.86268,9.71248
0.668849,-0.374541,1.81988,9.74166
0.678832,-0.377234,1.82228,9.75123
0.688815,-0.363917,1.80537,9.70859
0.698798,-0.354041,1.81031,9.69437
0.708781,-0.352095,1.82467,9.69916
0.718763,-0.351497,1.82452,9.67761
0.728746,-0.351497,1.82452,9.67761
0.738729,-0.351347,1.85071,9.65831
0.748712,-0.359128,1.88423,9.66744
0.758695,-0.356884,1.88662,9.67223
0.768677,-0.356884,1.88662,9.67223
0.77866,-0.356585,1.90084,9.64813
0.788643,-0.362869,1.88378,9.62419
0.798626,-0.362869,1.88378,9.62419
0.808609,-0.34596,1.90308,9.60773
0.818592,-0.34192,1.92478,9.62434
0.828574,-0.34192,1.92478,9.62434
0.838557,-0.327106,1.8748,9.63242
0.84854,-0.307055,1.87001,9.59935
0.858523,-0.321121,1.85071,9.59681
0.868506,-0.349701,1.86223,9.58633
0.878489,-0.352395,1.86941,9.59576
0.888471,-0.365413,1.88138,9.62898
0.898454,-0.371848,1.8962,9.69093
0.908437,-0.389056,1.89605,9.70964
0.91842,-0.382472,1.90577,9.72894
0.928403,-0.388906,1.88887,9.70724
0.938385,-0.376037,1.85774,9.6839
0.948368,-0.363169,1.8338,9.6604
0.958351,-0.33369,1.83634,9.62763
0.968334,-0.341172,1.83634,9.64185
0.978317,-0.364216,1.83096,9.61013
0.9883,-0.373045,1.84338,9.66968
0.998282,-0.374092,1.85071,9.7056
1.00827,-0.398184,1.86956,9.70485
1.01825,-0.382023,1.85565,9.73403
1.02823,-0.384118,1.84831,9.72445
1.03821,-0.400578,1.8338,9.72176
1.0482,-0.379479,1.82946,9.7439
1.05818,-0.364665,1.81749,9.72759
1.06816,-0.357183,1.7913,9.73043
1.07815,-0.329949,1.832,9.67327
1.08813,-0.353741,1.80537,9.68016
1.09811,-0.36691,1.85325,9.70335
1.10809,-0.356734,1.86268,9.67716
