time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.434396,1.97102,9.56898
0.00998276,-0.437987,1.95141,9.52828
0.0199655,-0.399081,1.9351,9.51496
0.0299483,-0.402074,1.96144,9.52438
0.039931,-0.447713,1.90129,9.56194
0.0499138,-0.496794,1.90577,9.60848
0.0598966,-0.52313,1.91805,9.70111
0.0698793,-0.520736,1.95456,9.77757
0.0798621,-0.540937,1.98553,9.80076
0.0898448,-0.510411,1.94259,9.75408
0.0998276,-0.4739,1.89515,9.75049
0.10981,-0.443524,1.86896,9.70126
0.119793,-0.410753,1.83545,9.64724
0.129776,-0.391749,1.835,9.5591
0.139759,-0.405665,1.80612,9.55895
0.149741,-0.440381,1.82273,9.5986
0.159724,-0.487666,1.82976,9.66445
0.169707,-0.514152,1.85639,9.75692
0.17969,-0.536448,1.90233,9.86137
0.189672,-0.53555,1.94333,9.89952
0.199655,-0.479885,1.90802,9.89159
0.209638,-0.452651,1.87405,9.77757
0.219621,-0.399381,1.83096,9.67387
0.229603,-0.37484,1.80432,9.57167
0.239586,-0.373793,1.83021,9.51645
0.249569,-0.384567,1.85654,9.54713
0.259552,-0.39968,1.88527,9.56329
0.269534,-0.417636,1.92119,9.59606
0.279517,-0.434396,1.92807,9.59322
0.2895,-0.456243,1.95171,9.59247
0.299483,-0.453998,1.95171,9.59486
0.309466,-0.442327,1.9592,9.60713
0.319448,-0.40387,1.94528,9.60594
0.329431,-0.396089,1.92613,9.58948
0.339414,-0.399979,1.89485,9.56808
0.349397,-0.37484,1.87345,9.53291
0.359379,-0.401476,1.90173,9.53441
0.369362,-0.411801,1.90667,9.56045
0.379345,-0.439034,1.92792,9.58349
0.389328,-0.430206,1.94498,9.60519
0.39931,-0.487367,1.90533,9.51765
0.409293,-0.566974,1.76302,9.52618
0.419276,-0.587474,1.75674,9.67911
0.429259,-0.636555,1.84128,9.87364
0.439241,-0.620993,1.84487,10.0177
0.449224,-0.653165,1.76601,10.1014
0.459207,-0.657205,1.70377,10.1017
0.46919,-0.619197,1.67279,10.0358
0.479172,-0.600942,1.68207,9.96911
0.489155,-0.588073,1.70586,9.91898
0.499138,-0.566076,1.74641,9.87858
0.509121,-0.562635,1.78442,9.81842
0.519103,-0.536448,1.80312,9.72086
0.529086,-0.468513,1.82048,9.66983
0.539069,-0.455794,1.82991,9.63646
0.549052,-0.433797,1.85879,9.60085
0.559034,-0.392797,1.89261,9.57302
0.569017,-0.37065,1.91176,9.53755
0.579,-0.336084,1.92628,9.48563
0.588983,-0.3503,1.914,9.48533
0.598966,-0.354789,1.914,9.4756
0.608948,-0.395191,1.92523,9.46004
0.618931,-0.400428,1.90383,9.49132
0.628914,-0.427662,1.90144,9.52887
0.638897,-0.458188,1.91341,9.59501
0.648879,-0.487666,1.88468,9.64005
0.658862,-0.522831,1.88468,9.70859
0.668845,-0.547671,1.86313,9.75123
0.678828,-0.523879,1.86343,9.76141
0.68881,-0.537645,1.83215,9.75408
0.698793,-0.516247,1.84203,9.75453
0.708776,-0.528368,1.84891,9.75183
0.718759,-0.537496,1.8344,9.7445
