time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-1.18333,0.986107,9.79598
0.00997942,-1.17001,0.988202,9.7436
0.0199588,-1.17345,0.954384,9.70545
0.0299383,-1.13739,0.973986,9.68958
0.0399177,-1.09923,0.969796,9.69781
0.0498971,-1.0907,0.989249,9.72894
0.0598765,-1.09025,0.92715,9.74136
0.069856,-1.04761,0.92311,9.76171
0.0798354,-1.05988,0.908745,9.78311
0.0898148,-1.05943,0.910839,9.75917
0.0997942,-1.08831,0.908146,9.76799
0.109774,-1.06422,0.910839,9.76141
0.119753,-1.06541,0.927898,9.80196
0.129733,-1.05584,0.932836,9.79732
0.139712,-1.07469,0.932387,9.7873
0.149691,-1.10103,0.946453,9.77937
0.159671,-1.11285,0.960519,9.76455
0.16965,-1.10537,0.974884,9.75019
0.17963,-1.10522,0.996282,9.73088
0.189609,-1.12422,1.00302,9.72086
0.199588,-1.10627,0.986256,9.683
0.209568,-1.10627,0.986256,9.683
0.219547,-1.07544,0.974884,9.69826
0.229527,-1.07544,0.974884,9.69826
0.239506,-1.09175,0.969796,9.6836
0.249486,-1.09639,0.955282,9.68599
0.259465,-1.07364,0.970245,9.72235
0.269444,-1.10821,0.974884,9.76695
0.279424,-1.10417,0.994187,9.78371
0.289403,-1.10417,0.994187,9.78371
0.299383,-1.08846,0.941665,9.75572
0.309362,-1.08846,0.941665,9.75572
0.319342,-1.14786,0.928796,9.74944
0.329321,-1.14786,0.928796,9.74944
0.3393,-1.13021,0.957975,9.79044
0.34928,-1.13021,0.957975,9.79044
0.359259,-1.14158,0.919518,9.78805
0.369239,-1.14158,0.919518,9.78805
0.379218,-1.11719,0.924606,9.76949
0.389198,-1.10806,0.953336,9.76949
0.399177,-1.09145,0.996581,9.75288
0.409156,-1.09145,0.996581,9.75288
0.419136,-1.08591,0.994038,9.72669
0.429115,-1.08472,0.998527,9.67402
0.439095,-1.06676,1.02935,9.61192
0.449074,-1.06676,1.02935,9.61192
0.459053,-1.02322,0.991643,9.61088
0.469033,-1.02322,0.991643,9.61088
0.479012,-0.995085,0.966055,9.64544
0.488992,-1.00451,0.978475,9.72894
0.498971,-1.01783,0.920715,9.71936
0.508951,-1.01783,0.920715,9.71936
0.51893,-1.04611,0.91069,9.70679
0.528909,-1.06811,0.91054,9.72535
0.538889,-1.08576,0.948698,9.74375
0.548868,-1.14173,0.975183,9.85957
0.558848,-1.14173,0.975183,9.85957
0.568827,-1.14218,0.953785,9.89324
0.578807,-1.14053,0.92715,9.84072
0.588786,-1.12018,0.915179,9.79822
0.598765,-1.12018,0.915179,9.79822
0.608745,-1.13889,0.926701,9.77368
0.618724,-1.15834,0.964709,9.76814
0.628704,-1.12946,1.00077,9.73986
0.638683,-1.10926,0.974435,9.71188
0.648663,-1.10926,0.974435,9.71188
0.658642,-1.11614,0.962315,9.70455
0.668621,-1.08831,0.998826,9.72415
0.678601,-1.08801,0.991494,9.71472
0.68858,-1.09235,0.986556,9.70021
0.69856,-1.06571,0.989249,9.68405
0.708539,-1.07694,0.957825,9.67208
0.718519,-1.072,0.941216,9.67238
0.728498,-1.10656,0.905303,9.73403
