time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.530463,1.80657,9.85748
0.00997942,-0.53136,1.77529,9.81932
0.0199588,-0.592861,1.76706,9.79149
0.0299383,-0.604682,1.77634,9.78386
0.0399177,-0.6388,1.77843,9.8069
0.0498971,-0.639847,1.79549,9.83787
0.0598765,-0.641942,1.78816,9.8283
0.069856,-0.639398,1.79534,9.82111
0.0798354,-0.646431,1.76182,9.83084
0.0898148,-0.663789,1.76886,9.85673
0.0997942,-0.680399,1.77095,9.84655
0.109774,-0.69641,1.78008,9.81498
0.119753,-0.715264,1.82033,9.77832
0.129733,-0.711523,1.82707,9.72086
0.139712,-0.730677,1.87689,9.69602
0.149691,-0.775268,1.87615,9.6613
0.159671,-0.775119,1.91655,9.63706
0.16965,-0.808787,1.95426,9.6215
0.17963,-0.819262,2.00214,9.63766
0.189609,-0.808189,2.0192,9.66415
0.199588,-0.818514,2.01935,9.69018
0.209568,-0.817915,2.02384,9.66624
0.219547,-0.780206,1.99526,9.60758
0.229527,-0.781703,1.99017,9.57646
0.239506,-0.771528,1.98059,9.5576
0.249486,-0.752374,1.9761,9.55566
0.259465,-0.754319,1.98314,9.53651
0.269444,-0.757162,1.9999,9.54339
0.279424,-0.777812,2.02863,9.59067
0.289403,-0.802203,2.03327,9.60669
0.299383,-0.790232,2.0406,9.60459
0.309362,-0.773323,2.02878,9.60264
0.319342,-0.780955,2.04075,9.61686
0.329321,-0.749381,2.00528,9.61312
0.3393,-0.746089,1.97655,9.59427
0.34928,-0.746089,1.95979,9.60399
0.359259,-0.737261,1.96009,9.62808
0.369239,-0.705987,1.95097,9.63138
0.379218,-0.684738,1.97042,9.62704
0.389198,-0.676807,1.93929,9.61551
0.399177,-0.679501,1.91311,9.63961
0.409156,-0.670223,1.92283,9.64694
0.419136,-0.69222,1.95605,9.64843
0.429115,-0.684888,1.96084,9.63901
0.439095,-0.694315,1.94887,9.64125
0.449074,-0.713768,1.98688,9.63571
0.459053,-0.701946,1.9966,9.63601
0.469033,-0.66768,1.99675,9.60339
0.479012,-0.656906,1.95126,9.58005
0.488992,-0.649723,1.95605,9.57541
0.498971,-0.644636,1.92987,9.5781
0.508951,-0.657205,1.91805,9.60893
0.51893,-0.681446,1.93211,9.61536
0.528909,-0.670223,1.94678,9.63482
0.538889,-0.698654,1.97012,9.61222
0.548868,-0.732023,1.97206,9.60893
0.558848,-0.734118,1.98134,9.58978
0.568827,-0.744892,2.00543,9.62285
0.578807,-0.748483,2.03671,9.65607
0.588786,-0.741899,2.05616,9.67282
0.598765,-0.743994,2.04643,9.66325
0.608745,-0.711673,2.01546,9.63317
0.618724,-0.691173,1.96772,9.60055
0.628704,-0.653464,1.93196,9.54668
0.638683,-0.640745,1.89844,9.53291
0.648663,-0.650621,1.88647,9.55192
0.658642,-0.680997,1.90817,9.61088
0.668621,-0.680399,1.94199,9.66325
0.678601,-0.724691,1.97281,9.69781
0.68858,-0.727085,1.98942,9.68569
0.69856,-0.705987,2.01606,9.68839
0.708539,-0.709578,2.03701,9.63063
0.718519,-0.679202,2.00843,9.579
0.728498,-0.68818,1.98658,9.56449
0.738477,-0.666782,1.96548,9.582
0.748457,-0.645084,1.93959,9.58993
0.758436,-0.672318,1.93465,9.62763
0.768416,-0.668577,1.93495,9.67088
0.778395,-0.629971,1.914,9.66968
0.788374,-0.63042,1.91894,9.68629
0.798354,-0.656906,1.91386,9.69288
0.808333,-0.656158,1.91116,9.66415
0.818313,-0.649125,1.90667,9.67642
0.828292,-0.649873,1.92104,9.69542
0.838272,-0.693267,1.94917,9.69407
0.848251,-0.672019,1.96144,9.69931
0.85823,-0.695961,1.97551,9.69138
0.86821,-0.699852,1.96084,9.66504
0.878189,-0.711074,1.96772,9.63123
0.888169,-0.68384,1.99167,9.5814
0.898148,-0.672917,1.99137,9.52902
0.908128,-0.672618,1.98418,9.52184
0.918107,-0.683391,1.99631,9.55985
0.928086,-0.694913,1.98643,9.54997
0.938066,-0.705238,1.99122,9.57601
0.948045,-0.744443,2.00528,9.60848
0.958025,-0.730976,2.01531,9.6399
0.968004,-0.745491,2.01995,9.64424
0.977984,-0.72095,1.98912,9.63557
0.987963,-0.732472,1.99122,9.61611
0.997942,-0.725739,1.97236,9.64035
1.00792,-0.744593,1.97191,9.63018
1.0179,-0.744892,1.96249,9.64469
1.02788,-0.730826,1.97715,9.65457
1.03786,-0.738458,1.99855,9.6613
1.04784,-0.734118,1.98688,9.68076
1.05782,-0.728582,1.96772,9.6643
1.0678,-0.728731,1.94618,9.67881
1.07778,-0.722447,1.95605,9.70754
1.08776,-0.727085,1.94648,9.70754
1.09774,-0.717808,1.9562,9.71487
1.10772,-0.691621,1.95905,9.72041
1.1177,-0.7006,1.96578,9.69138
1.12767,-0.7006,1.96578,9.69138
1.13765,-0.700749,1.96997,9.60264
1.14763,-0.692819,1.94124,9.58394
1.15761,-0.668877,1.9583,9.57481
1.16759,-0.668128,1.98493,9.62734
1.17757,-0.661993,2.00678,9.65846
1.18755,-0.662442,1.99256,9.68255
1.19753,-0.65496,1.98793,9.67567
1.20751,-0.635358,1.9785,9.65936
1.21749,-0.633862,1.97087,9.60683
1.22747,-0.633712,1.96847,9.59965
1.23745,-0.649873,1.96338,9.58005
1.24743,-0.653314,1.9969,9.6013
1.25741,-0.685037,2.01576,9.61955
1.26739,-0.685037,2.01576,9.61955
1.27737,-0.687282,2.02997,9.60264
1.28735,-0.699103,2.05122,9.58768
1.29733,-0.693417,2.08923,9.53007
1.3073,-0.693417,2.08923,9.53007
1.31728,-0.676359,2.11317,9.50882
1.32726,-0.707034,2.09836,9.4961
1.33724,-0.693267,2.08684,9.53007
1.34722,-0.693267,2.08684,9.53007
1.3572,-0.705388,2.08429,9.53695
1.36718,-0.705388,2.08429,9.53695
1.37716,-0.719753,2.06499,9.54399
1.38714,-0.717958,2.02713,9.58978
1.39712,-0.717958,2.02713,9.58978
1.4071,-0.719903,1.99421,9.68584
1.41708,-0.719903,1.99421,9.68584
1.42706,-0.735914,1.98493,9.75258
1.43704,-0.73771,1.98239,9.73103
1.44702,-0.70464,1.93226,9.68195
1.457,-0.70464,1.93226,9.68195
1.46698,-0.721549,1.9583,9.67402
1.47695,-0.731126,1.97715,9.66415
1.48693,-0.724841,1.9966,9.68809
1.49691,-0.729779,1.99421,9.69751
1.50689,-0.729929,2.00139,9.69751
1.51687,-0.729779,2.018,9.683
1.52685,-0.688778,2.01142,9.67686
1.53683,-0.698056,2.00394,9.66474
1.54681,-0.673515,1.9993,9.64155
1.55679,-0.637902,2.03327,9.63736
1.56677,-0.64703,2.03551,9.6203
1.57675,-0.625632,2.04763,9.61611
1.58673,-0.631767,2.04973,9.57272
1.59671,-0.621292,2.04958,9.5395
1.60669,-0.614259,2.07352,9.52992
1.61667,-0.611715,2.11646,9.50089
1.62665,-0.63042,2.14235,9.47141
1.63663,-0.641942,2.13966,9.45675
1.6466,-0.651668,2.16106,9.45166
1.65658,-0.634909,2.15163,9.4545
1.66656,-0.649873,2.14923,9.48054
1.67654,-0.661694,2.12993,9.48518
1.68652,-0.705987,2.10599,9.54638
1.6965,-0.725739,2.08444,9.582
1.70648,-0.738159,2.0819,9.60085
1.71646,-0.70883,2.10838,9.56554
1.72644,-0.715563,2.11063,9.54608
1.73642,-0.729629,2.08175,9.55072
1.7464,-0.735166,2.06993,9.58424
1.75638,-0.75806,2.08669,9.63377
1.76636,-0.763597,2.09402,9.65756
1.77634,-0.746538,2.0798,9.65337
1.78632,-0.753421,2.09147,9.63392
1.7963,-0.747286,2.10315,9.57646
1.80628,-0.744443,2.103,9.55506
1.81626,-0.741002,2.09088,9.5193
