time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.750578,1.65693,9.74734
0.00998174,-0.740852,1.66411,9.73807
0.0199635,-0.729929,1.65424,9.68569
0.0299452,-0.710176,1.67354,9.65247
0.039927,-0.710027,1.6686,9.64769
0.0499087,-0.724691,1.66381,9.66415
0.0598905,-0.751775,1.69224,9.68001
0.0698722,-0.744294,1.709,9.66085
0.079854,-0.753421,1.67773,9.66085
0.0898357,-0.733071,1.7117,9.68988
0.0998174,-0.742348,1.72576,9.66804
0.109799,-0.744593,1.74013,9.65831
0.119781,-0.757312,1.72516,9.59816
0.129763,-0.77482,1.73459,9.62644
0.139744,-0.755816,1.69434,9.64873
0.149726,-0.753721,1.68731,9.66325
0.159708,-0.749232,1.69464,9.67522
0.16969,-0.738757,1.70481,9.72819
0.179671,-0.733969,1.68805,9.73567
0.189653,-0.74998,1.66621,9.72101
0.199635,-0.764495,1.67324,9.72056
0.209617,-0.783349,1.68491,9.7056
0.219598,-0.770779,1.66576,9.69168
0.22958,-0.767038,1.68042,9.7228
0.239562,-0.769882,1.6876,9.73941
0.249544,-0.770181,1.71633,9.73448
0.259525,-0.779608,1.7114,9.73178
0.269507,-0.788885,1.71589,9.71727
0.279489,-0.773473,1.69913,9.68659
0.289471,-0.780057,1.70122,9.65771
0.299452,-0.77033,1.72516,9.63856
0.309434,-0.765392,1.72292,9.63631
0.319416,-0.730078,1.7307,9.65158
0.329398,-0.732173,1.71155,9.65397
0.339379,-0.72499,1.69254,9.65921
0.349361,-0.714965,1.68297,9.64754
0.359343,-0.726786,1.67563,9.64484
0.369325,-0.72933,1.70182,9.64215
0.379306,-0.743695,1.70885,9.63452
0.389288,-0.756265,1.74222,9.64125
0.39927,-0.742797,1.76646,9.66295
0.409252,-0.747286,1.76631,9.65322
0.419233,-0.727834,1.75704,9.64903
0.429215,-0.732173,1.69718,9.65891
0.439197,-0.722746,1.68775,9.66878
0.449178,-0.711673,1.65483,9.72206
0.45916,-0.755516,1.61638,9.77398
0.469142,-0.7416,1.61907,9.79104
0.479124,-0.729031,1.63089,9.76246
0.489105,-0.765542,1.65438,9.77099
0.499087,-0.767637,1.68057,9.74435
0.509069,-0.788287,1.69194,9.70784
0.519051,-0.810732,1.73489,9.71891
0.529032,-0.801156,1.73489,9.71906
0.539014,-0.784247,1.7494,9.70515
0.548996,-0.757462,1.69958,9.71577
