time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.513853,2.03027,9.65502
0.00997718,-0.513853,2.03027,9.65502
0.0199544,-0.49455,2.05676,9.63138
0.0299315,-0.487218,2.05915,9.62674
0.0399087,-0.487218,2.05915,9.62674
0.0498859,-0.468513,2.05002,9.64888
0.0598631,-0.468513,2.05002,9.64888
0.0698402,-0.493502,2.05721,9.68659
0.0798174,-0.493502,2.05721,9.68659
0.0897946,-0.502032,2.07112,9.63826
0.0997718,-0.472553,2.08085,9.60309
0.109749,-0.451005,2.09058,9.59636
0.119726,-0.468214,2.11916,9.60055
0.129703,-0.418983,2.11931,9.54429
0.13968,-0.418983,2.11931,9.54429
0.149658,-0.435892,2.11916,9.55102
0.159635,-0.424669,2.06634,9.51092
0.169612,-0.466717,2.07097,9.56254
0.179589,-0.482429,2.1021,9.60025
0.189566,-0.506371,2.11616,9.59471
0.199544,-0.506221,2.13038,9.58259
0.209521,-0.505623,2.11601,9.56838
0.219498,-0.500236,2.08489,9.56164
0.229475,-0.545576,2.05556,9.56778
0.239452,-0.561737,2.09641,9.61731
0.249429,-0.623088,2.10793,9.67552
0.259407,-0.621591,2.10823,9.71158
0.269384,-0.634311,2.10838,9.74241
0.279361,-0.617252,2.12035,9.72595
0.289338,-0.623387,2.09851,9.69243
0.299315,-0.597949,2.08414,9.63811
0.309293,-0.585379,2.08414,9.61447
0.31927,-0.587025,2.09581,9.5784
0.329247,-0.562934,2.12469,9.55731
0.339224,-0.553058,2.12948,9.5407
0.349201,-0.540788,2.14145,9.52648
0.359178,-0.53585,2.12963,9.52438
0.369156,-0.502929,2.14923,9.53471
0.379133,-0.517295,2.13472,9.54399
0.38911,-0.496495,2.11856,9.58544
0.399087,-0.471356,2.09551,9.64365
0.409064,-0.441728,2.04793,9.63048
0.419041,-0.437239,2.00513,9.66445
0.429019,-0.408509,1.96264,9.68704
0.438996,-0.393545,1.96264,9.66115
0.448973,-0.381275,1.94124,9.6616
0.45895,-0.420031,1.93376,9.68225
0.468927,-0.432002,1.93825,9.6818
0.478905,-0.435144,1.99092,9.68135
0.488882,-0.42871,2.03895,9.69078
0.498859,-0.451903,2.06229,9.64679
0.508836,-0.443823,2.07157,9.60863
0.518813,-0.484374,2.10913,9.57855
0.52879,-0.476444,2.11616,9.54518
0.538768,-0.492604,2.11826,9.52079
0.548745,-0.507269,2.16106,9.51047
0.558722,-0.497991,2.1612,9.52513
0.568699,-0.495597,2.1612,9.52513
0.578676,-0.50263,2.15642,9.52259
0.588654,-0.514152,2.11317,9.52753
0.598631,-0.531061,2.09626,9.54144
0.608608,-0.538992,2.08923,9.57496
0.618585,-0.55231,2.08474,9.62973
0.628562,-0.541835,2.08998,9.68734
0.638539,-0.534952,2.10449,9.69228
