time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.272189,2.05092,9.73552
0.00998193,-0.272189,2.07486,9.7234
0.0199639,-0.263959,2.08893,9.67552
0.0299458,-0.255729,2.05541,9.65203
0.0399277,-0.249594,2.05032,9.59711
0.0499096,-0.205002,2.07501,9.6221
0.0598916,-0.20994,2.07262,9.62913
0.0698735,-0.200064,2.02249,9.64424
0.0798554,-0.224755,2.00573,9.67956
0.0898373,-0.244656,2.01995,9.7053
0.0998193,-0.244656,2.05332,9.68839
0.109801,-0.21832,2.06095,9.6818
0.119783,-0.196324,2.06349,9.66549
0.129765,-0.172232,2.08758,9.64439
0.139747,-0.168641,2.09911,9.58933
0.149729,-0.180312,2.09417,9.57945
0.159711,-0.166247,2.07531,9.5992
0.169693,-0.142305,2.08758,9.59726
0.179675,-0.116717,2.09536,9.61955
0.189657,-0.144699,2.059,9.60713
0.199639,-0.118662,2.05706,9.6197
0.20962,-0.142155,2.06843,9.5998
0.219602,-0.135721,2.08549,9.6215
0.229584,-0.131082,2.08803,9.62404
0.239566,-0.141407,2.10943,9.64035
0.249548,-0.147392,2.09477,9.6019
0.25953,-0.137816,2.10449,9.59965
0.269512,-0.161009,2.09432,9.57526
0.279494,-0.132279,2.11138,9.56389
0.289476,-0.1444,2.11377,9.57077
0.299458,-0.148889,2.12544,9.55132
0.30944,-0.17313,2.09671,9.57975
0.319422,-0.178966,2.13502,9.59846
0.329404,-0.188393,2.10868,9.61028
0.339386,-0.193032,2.08938,9.61521
0.349367,-0.176571,2.10883,9.61536
0.359349,-0.184053,2.11123,9.62479
0.369331,-0.139761,2.07097,9.59756
0.379313,-0.168641,2.02533,9.63063
0.389295,-0.191086,2.02519,9.66355
0.399277,-0.215327,2.0584,9.65786
0.409259,-0.187345,2.06619,9.68734
0.419241,-0.202608,2.08758,9.70829
0.429223,-0.197072,2.08504,9.6821
0.439205,-0.169838,2.06619,9.65666
0.449187,-0.172232,2.07561,9.64933
0.459169,-0.19363,2.04673,9.661
0.469151,-0.161608,2.04449,9.62584
0.479133,-0.164301,2.05406,9.63048
0.489114,-0.165049,2.06619,9.65203
0.499096,-0.182258,2.10419,9.65607
0.509078,-0.191386,2.10165,9.63901
0.51906,-0.203207,2.11332,9.62674
0.529042,-0.200663,2.11093,9.61955
0.539024,-0.196922,2.13277,9.65307
0.549006,-0.177619,2.13532,9.64394
0.558988,-0.172681,2.14011,9.63212
0.56897,-0.130483,2.1235,9.58065
0.578952,-0.115071,2.09477,9.55252
0.588934,-0.0912785,2.06903,9.57002
0.598916,-0.114921,2.05421,9.56958
0.608898,-0.0995085,2.08594,9.60803
0.61888,-0.0956179,2.06948,9.65143
0.628861,-0.139312,2.06439,9.67896
0.638843,-0.142604,2.1027,9.69303
0.648825,-0.163553,2.12125,9.66355
0.658807,-0.162805,2.13771,9.62045
0.668789,-0.133925,2.15238,9.60908
0.678771,-0.145148,2.15926,9.57751
0.688753,-0.155024,2.1639,9.58439
0.698735,-0.114023,2.14295,9.58574
0.708717,-0.0995085,2.12155,9.58618
0.718699,-0.0990596,2.10719,9.57436
0.728681,-0.108636,2.10704,9.57885
0.738663,-0.0941216,2.12155,9.56239
0.748645,-0.0843952,2.09776,9.57002
0.758627,-0.0960669,2.11422,9.54803
0.768608,-0.127939,2.07591,9.60025
0.77859,-0.109385,2.09297,9.61731
0.788572,-0.105344,2.12664,9.62674
0.798554,-0.115669,2.13143,9.65517
0.808536,-0.151283,2.10464,9.65921
0.818518,-0.13183,2.12634,9.63571
0.8285,-0.145597,2.1021,9.62584
0.838482,-0.133925,2.09761,9.63826
0.848464,-0.142903,2.08773,9.61881
0.858446,-0.120757,2.09028,9.59307
0.868428,-0.133177,2.10449,9.6022
0.87841,-0.134972,2.08055,9.59277
0.888392,-0.119111,2.10958,9.61462
0.898373,-0.143202,2.09267,9.62599
0.908355,-0.146046,2.10225,9.6426
0.918337,-0.134374,2.09058,9.65741
0.928319,-0.120009,2.05975,9.67477
0.938301,-0.0983114,2.08145,9.65607
0.948283,-0.104746,2.06215,9.63691
0.958265,-0.0758659,2.06005,9.63287
0.968247,-0.0945705,2.05736,9.61791
0.978229,-0.0947201,2.07397,9.61312
0.988211,-0.0757162,2.07187,9.62075
0.998193,-0.0775119,2.05496,9.6016
1.00817,-0.113874,2.03566,9.63197
1.01816,-0.136469,2.05945,9.66235
1.02814,-0.138414,2.04733,9.65038
1.03812,-0.171035,2.08788,9.69243
1.0481,-0.193331,2.1021,9.71323
1.05808,-0.19782,2.12828,9.69138
1.06807,-0.18974,2.10898,9.66055
1.07805,-0.213232,2.13472,9.63347
1.08803,-0.191535,2.14938,9.61955
1.09801,-0.210539,2.1443,9.61671
1.10799,-0.173579,2.12769,9.58185
1.11798,-0.179564,2.14953,9.61985
1.12796,-0.189141,2.16839,9.60504
1.13794,-0.159513,2.16854,9.57227
1.14792,-0.137067,2.12574,9.55641
1.1579,-0.120308,2.12589,9.55446
1.16789,-0.132279,2.11138,9.56149
1.17787,-0.11552,2.10449,9.56673
1.18785,-0.113125,2.08549,9.57421
1.19783,-0.117615,2.08055,9.56928
1.20781,-0.120308,2.06873,9.58364
1.2178,-0.149188,2.06364,9.59486
1.22778,-0.174327,2.06843,9.64454
1.23776,-0.18555,2.07352,9.7041
1.24774,-0.19767,2.06858,9.71577
1.25772,-0.185999,2.09507,9.71113
1.2677,-0.185101,2.08998,9.68001
1.27769,-0.153078,2.08309,9.64739
1.28767,-0.152031,2.06364,9.61641
