time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.520138,1.72412,9.68345
0.00997942,-0.500984,1.68865,9.69856
0.0199588,-0.470009,1.65334,9.7237
0.0299383,-0.446666,1.6276,9.76036
0.0399177,-0.441728,1.61338,9.76306
0.0498971,-0.425118,1.61353,9.7659
0.0598765,-0.395939,1.61623,9.7451
0.069856,-0.380975,1.63763,9.70934
0.0798354,-0.380826,1.65678,9.69243
0.0898148,-0.374092,1.69269,9.69243
0.0997942,-0.398483,1.69972,9.70844
0.109774,-0.395789,1.72337,9.68195
0.119753,-0.390851,1.73055,9.67253
0.129733,-0.369453,1.71185,9.68749
0.139712,-0.357183,1.68326,9.69048
0.149691,-0.350001,1.65723,9.7053
0.159671,-0.347906,1.60964,9.73911
0.16965,-0.34626,1.62655,9.76066
0.17963,-0.360774,1.6288,9.7674
0.189609,-0.350599,1.66291,9.82261
0.199588,-0.349402,1.69823,9.75767
0.209568,-0.324413,1.73654,9.69572
0.219547,-0.306456,1.73399,9.64589
0.229527,-0.283861,1.71484,9.61312
0.239506,-0.258872,1.67204,9.59247
0.249486,-0.209342,1.66336,9.62748
0.259465,-0.246003,1.65349,9.66011
0.269444,-0.270693,1.63433,9.70275
0.279424,-0.308402,1.57882,9.71173
0.289403,-0.351946,1.564,9.73462
0.299383,-0.381873,1.56804,9.68584
0.309362,-0.410903,1.57732,9.69707
0.319342,-0.464622,1.59124,9.73388
0.329321,-0.513853,1.65528,9.75363
0.3393,-0.579843,1.71214,9.78026
0.34928,-0.637902,1.73534,9.79044
0.359259,-0.680548,1.75599,9.76291
0.369239,-0.672917,1.80372,9.71966
0.379218,-0.676807,1.78188,9.69572
0.389198,-0.688479,1.78891,9.6833
0.399177,-0.683242,1.77694,9.66923
0.409156,-0.642541,1.76078,9.68001
0.419136,-0.639697,1.76063,9.65846
0.429115,-0.588222,1.7705,9.60713
0.439095,-0.53989,1.76392,9.59157
0.449074,-0.473601,1.76197,9.52394
0.459053,-0.42437,1.78367,9.45795
0.469033,-0.431852,1.7717,9.4771
0.479012,-0.413147,1.80312,9.47486
0.488992,-0.361373,1.80402,9.50987
0.498971,-0.383669,1.79923,9.54279
0.508951,-0.355238,1.76392,9.57257
0.51893,-0.365712,1.70436,9.63975
0.528909,-0.330548,1.64316,9.70111
0.538889,-0.291044,1.60575,9.7647
0.548868,-0.274883,1.54186,9.82067
0.558848,-0.258872,1.49697,9.87648
0.568827,-0.238072,1.44983,9.93244
0.578807,-0.238521,1.42604,9.95908
0.588786,-0.250791,1.44744,9.96088
0.598765,-0.275781,1.43487,9.91718
0.608745,-0.292241,1.47736,9.88291
0.618724,-0.312891,1.5031,9.82949
0.628704,-0.327555,1.55547,9.81917
0.638683,-0.38726,1.6071,9.78849
0.648663,-0.378282,1.64556,9.79089
0.658642,-0.414494,1.6689,9.79209
0.668621,-0.380826,1.67893,9.77847
0.678601,-0.371997,1.67608,9.71652
0.68858,-0.35868,1.65917,9.66908
0.69856,-0.350749,1.62102,9.65996
0.708539,-0.326508,1.62835,9.6414
0.718519,-0.341471,1.59902,9.58843
0.728498,-0.390103,1.60096,9.61357
0.738477,-0.431253,1.62446,9.62195
0.748457,-0.469111,1.64526,9.59681
0.758436,-0.518342,1.73549,9.60444
