time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-2.60069,4.48237,8.49922
0.00998479,-2.66503,4.45529,8.50251
0.0199696,-2.6993,4.44781,8.53753
0.0299544,-2.69092,4.5126,8.54696
0.0399392,-2.63645,4.60896,8.52122
0.049924,-2.62254,4.71341,8.3867
0.0599087,-2.67596,4.74798,8.30604
0.0698935,-2.71845,4.80215,8.25651
0.0798783,-2.74314,4.85212,8.2628
0.0898631,-2.70409,4.84584,8.32849
0.0998479,-2.66398,4.76309,8.39238
0.109833,-2.62478,4.67825,8.49952
0.119817,-2.65097,4.59924,8.53289
0.129802,-2.65097,4.59924,8.53289
0.139787,-2.69855,4.48581,8.48456
0.149772,-2.65246,4.39962,8.40974
0.159757,-2.5736,4.40007,8.31846
0.169741,-2.52333,4.38406,8.3222
0.179726,-2.46287,4.39738,8.38849
0.189711,-2.46287,4.39738,8.38849
0.199696,-2.41813,4.32181,8.45732
0.209681,-2.35483,4.22455,8.45972
0.219665,-2.31488,4.14359,8.43727
0.22965,-2.29244,4.14374,8.40196
0.239635,-2.30276,4.14778,8.33462
0.24962,-2.31458,4.17547,8.21431
0.259605,-2.35708,4.27258,8.14294
0.269589,-2.32132,4.35653,8.10493
0.279574,-2.26176,4.37344,8.01066
0.289559,-2.21522,4.33962,7.88751
0.299544,-2.21956,4.38241,7.85115
0.309529,-2.26849,4.3884,7.79234
0.319513,-2.34107,4.45678,7.79234
0.329498,-2.41529,4.52337,7.85459
0.339483,-2.51165,4.61106,7.93045
0.349468,-2.58228,4.63261,8.06258
0.359452,-2.69631,4.63695,8.22
0.369437,-2.78878,4.61315,8.39268
0.379422,-2.95009,4.64772,8.5103
0.389407,-3.03344,4.6781,8.57494
0.399392,-3.0692,4.74678,8.53529
0.409376,-3.02461,4.69141,8.4051
0.419361,-2.92136,4.62049,8.33163
0.429346,-2.84205,4.53489,8.26729
0.439331,-2.84205,4.54208,8.26235
0.449316,-2.87871,4.59176,8.26594
0.4593,-2.87901,4.60388,8.27297
0.469285,-2.9251,4.54612,8.32968
0.47927,-2.91747,4.50557,8.33492
0.489255,-2.88036,4.50886,8.37906
0.49924,-2.78504,4.46726,8.41543
0.509224,-2.7418,4.40995,8.34031
0.519209,-2.75541,4.34994,8.34031
0.529194,-2.77621,4.36132,8.30619
0.539179,-2.83233,4.42282,8.31622
0.549163,-2.87752,4.50811,8.26654
0.559148,-2.87602,4.54163,8.28075
0.569133,-2.85657,4.51799,8.28375
0.579118,-2.85268,4.48192,8.24095
0.589103,-2.84669,4.40531,8.22973
0.599087,-2.86255,4.38107,8.20788
0.609072,-2.84789,4.37403,8.20115
0.619057,-2.82245,4.3477,8.15655
0.629042,-2.79971,4.32136,8.1166
0.639027,-2.79357,4.29548,8.17451
0.649011,-2.83532,4.24699,8.14982
0.658996,-2.82754,4.21273,8.04717
0.668981,-2.77202,4.23487,8.0126
0.678966,-2.77187,4.16469,8.23826
0.688951,-2.8217,4.09436,8.54172
0.698935,-2.91986,4.08015,8.74523
0.70892,-3.09195,4.15003,8.79775
0.718905,-3.28333,4.23981,8.65544
0.72889,-3.42863,4.42521,8.43952
0.738875,-3.45452,4.64503,8.11136
0.748859,-3.4421,4.84464,7.89693
0.758844,-3.41576,4.9039,7.77034
0.768829,-3.31625,4.85961,7.73488
0.778814,-3.2362,4.7586,7.84082
0.788798,-3.20836,4.62258,7.84965
0.798783,-3.28318,4.52158,7.92985
0.808768,-3.38912,4.46142,8.07844
0.818753,-3.54415,4.56796,8.19576
0.828738,-3.6655,4.68124,8.21102
0.838722,-3.79718,4.77177,8.06782
0.848707,-3.78716,4.8617,7.90696
0.858692,-3.76322,4.88445,7.70615
0.868677,-3.73164,4.83402,7.61876
0.878662,-3.69199,4.76025,7.6011
0.888646,-3.71758,4.6555,7.72351
0.898631,-3.66281,4.54896,7.788
0.908616,-3.63872,4.48477,7.81059
0.918601,-3.68032,4.45125,7.8697
0.928586,-3.70905,4.46442,7.76346
0.93857,-3.79554,4.54851,7.64315
0.948555,-3.80512,4.64772,7.49366
0.95854,-3.80063,4.68947,7.2945
0.968525,-3.7713,4.74768,7.33565
0.97851,-3.74152,4.61495,7.45715
0.988494,-3.77878,4.46052,7.68729
0.998479,-3.79629,4.3079,7.79578
