time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-5.31106,6.62158,4.97662
0.00997996,-5.34533,6.62128,5.00445
0.0199599,-5.41341,6.6946,5.01403
0.0299399,-5.47701,6.69894,5.06745
0.0399198,-5.45471,6.67051,5.0492
0.0498998,-5.37436,6.62816,5.01807
0.0598798,-5.21903,6.6123,4.83776
0.0698597,-5.21903,6.6123,4.83776
0.0798397,-5.28038,6.61844,4.80499
0.0898196,-5.28038,6.61844,4.80499
0.0997996,-5.28891,6.64013,4.84764
0.10978,-5.30852,6.60183,4.8834
0.11976,-5.36388,6.62981,4.88175
0.129739,-5.40279,6.67231,4.88759
0.139719,-5.32602,6.68278,4.87038
0.149699,-5.25899,6.6545,4.79092
0.159679,-5.2554,6.62547,4.75516
0.169659,-5.24552,6.61125,4.75321
0.179639,-5.2741,6.60138,4.75486
0.189619,-5.33201,6.59839,4.77491
0.199599,-5.34967,6.56502,4.82743
0.209579,-5.32752,6.5532,4.80903
0.219559,-5.253,6.56352,4.78688
0.229539,-5.18731,6.58088,4.73586
0.239519,-5.15858,6.58836,4.73167
0.249499,-5.21873,6.57819,4.75172
0.259479,-5.2958,6.60108,4.7592
0.269459,-5.34174,6.6126,4.77461
0.279439,-5.36358,6.6337,4.77147
0.289419,-5.36762,6.56681,4.7791
0.299399,-5.30089,6.54392,4.8002
0.309379,-5.26572,6.58986,4.80319
0.319359,-5.24866,6.57804,4.79885
0.329339,-5.26407,6.59255,4.83671
0.339319,-5.26482,6.5927,4.86544
0.349299,-5.27455,6.56397,4.8846
0.359279,-5.28966,6.53778,4.92754
0.369259,-5.25899,6.52402,4.95478
0.379238,-5.25076,6.59599,4.97124
0.389218,-5.31241,6.62607,4.93098
0.399198,-5.33829,6.61365,4.91841
0.409178,-5.35311,6.65645,4.92006
0.419158,-5.41281,6.64373,4.91871
0.429138,-5.41296,6.62472,4.93323
0.439118,-5.41925,6.63864,4.89462
0.449098,-5.45232,6.64522,4.87442
0.459078,-5.44828,6.6765,4.88639
0.469058,-5.49152,6.72199,4.9639
0.479038,-5.5403,6.73111,4.99607
0.489018,-5.562,6.68323,5.02944
0.498998,-5.52908,6.67665,5.05668
0.508978,-5.50768,6.66512,5.0694
0.518958,-5.47102,6.62951,5.05383
0.528938,-5.44603,6.6153,5.02106
0.538918,-5.44783,6.63654,4.98246
0.548898,-5.50738,6.64043,4.97124
0.558878,-5.53177,6.63789,4.98979
0.568858,-5.55572,6.6542,4.98665
0.578838,-5.45157,6.60048,4.95867
0.588818,-5.42,6.54826,4.96944
0.598798,-5.39561,6.52462,4.96555
0.608778,-5.34712,6.47748,4.9648
0.618758,-5.28577,6.46895,4.99997
0.628737,-5.28143,6.49065,5.00715
0.638717,-5.32827,6.4682,4.97961
0.648697,-5.36702,6.52028,4.97348
0.658677,-5.36897,6.54392,4.93966
0.668657,-5.37017,6.55798,4.88684
0.678637,-5.33859,6.56771,4.86125
0.688617,-5.32932,6.57744,4.86858
0.698597,-5.30912,6.5297,4.84793
0.708577,-5.30478,6.50606,4.88175
0.718557,-5.33321,6.5104,4.86424
0.728537,-5.34757,6.50067,4.87113
0.738517,-5.37256,6.54601,4.89163
0.748497,-5.37211,6.48855,4.90165
0.758477,-5.33889,6.45578,4.92919
0.768457,-5.32198,6.39638,4.95642
0.778437,-5.27275,6.36331,4.91961
0.788417,-5.28817,6.40865,4.93562
0.798397,-5.32632,6.47479,4.89821
0.808377,-5.42628,6.5122,4.95044
0.818357,-5.49317,6.58582,5.00326
0.828337,-5.52564,6.6955,5.00401
0.838317,-5.53237,6.68817,4.98949
0.848297,-5.51202,6.6738,4.95178
0.858277,-5.41655,6.64403,4.97363
0.868257,-5.36867,6.55649,5.01628
0.878236,-5.31016,6.4694,5.11429
0.888216,-5.27679,6.38171,5.16846
0.898196,-5.30612,6.42451,5.16741
0.908176,-5.35027,6.44486,5.10621
0.918156,-5.39456,6.45833,5.05473
0.928136,-5.41431,6.51549,5.0465
0.938116,-5.40264,6.52043,5.05398
0.948096,-5.35775,6.52521,4.98081
0.958076,-5.28218,6.49723,4.93996
0.968056,-5.26153,6.46611,4.89283
0.978036,-5.28562,6.42765,4.91886
0.988016,-5.35356,6.47239,4.93353
0.997996,-5.37196,6.45997,4.91392
1.00798,-5.33186,6.43379,4.85287
1.01796,-5.3377,6.44052,4.79751
1.02794,-5.35027,6.48107,4.8017
1.03792,-5.39456,6.48077,4.84614
1.0479,-5.41835,6.47329,4.84793
1.05788,-5.40039,6.47314,4.79811
1.06786,-5.45037,6.47479,4.78958
1.07784,-5.48883,6.47194,4.79332
1.08782,-5.47207,6.47209,4.79377
1.0978,-5.4164,6.4703,4.76893
1.10778,-5.3965,6.43932,4.75531
1.11776,-5.37481,6.45384,4.74139
1.12774,-5.39516,6.47538,4.77895
1.13772,-5.45995,6.49364,4.77716
1.1477,-5.55257,6.50965,4.83926
1.15768,-5.64086,6.58297,4.88908
1.16766,-5.67453,6.5707,4.90031
1.17764,-5.67588,6.60916,4.93592
1.18762,-5.72002,6.56996,4.89911
1.1976,-5.69518,6.53195,4.88564
1.20758,-5.65268,6.58043,4.87921
1.21756,-5.62769,6.58761,4.83671
1.22754,-5.64266,6.57325,4.86514
1.23752,-5.62245,6.56442,4.92575
1.24749,-5.66465,6.56427,4.98934
1.25747,-5.70371,6.59494,4.99997
1.26745,-5.72944,6.61111,4.97288
1.27743,-5.69817,6.58447,4.88041
1.28741,-5.62395,6.53958,4.80604
1.29739,-5.58849,6.53299,4.82863
1.30737,-5.54823,6.47883,4.87322
1.31735,-5.51681,6.43857,4.87906
1.32733,-5.51262,6.45788,4.89342
1.33731,-5.55377,6.48376,4.89941
1.34729,-5.56589,6.52417,4.8843
1.35727,-5.6033,6.51384,4.85227
1.36725,-5.51412,6.49574,4.83806
1.37723,-5.44454,6.45309,4.75636
1.38721,-5.44379,6.40042,4.75426
1.39719,-5.4589,6.37662,4.7996
1.40717,-5.49945,6.3672,4.89208
1.41715,-5.61797,6.385,4.93188
1.42713,-5.66226,6.48496,4.93248
1.43711,-5.60644,6.51878,4.8834
1.44709,-5.54794,6.49783,4.84913
1.45707,-5.50245,6.46506,4.86484
1.46705,-5.54614,6.45503,4.89731
1.47703,-5.64325,6.49469,4.93517
1.48701,-5.69398,6.53704,4.92874
1.49699,-5.74441,6.58417,4.91512
1.50697,-5.76581,6.61724,4.88804
1.51695,-5.75653,6.63176,4.89298
1.52693,-5.75713,6.574,4.85257
1.53691,-5.75458,6.55005,4.85766
1.54689,-5.71927,6.57699,4.86559
1.55687,-5.74007,6.56771,4.94176
1.56685,-5.73259,6.53674,4.9446
1.57683,-5.76805,6.49798,4.94864
1.58681,-5.74591,6.47658,4.93502
1.59679,-5.67797,6.45339,4.90824
1.60677,-5.57068,6.46147,4.82235
1.61675,-5.52744,6.39683,4.74977
1.62673,-5.5201,6.39937,4.74513
1.63671,-5.55961,6.41104,4.78958
1.64669,-5.59073,6.4058,4.79107
1.65667,-5.61632,6.42915,4.74962
1.66665,-5.61722,6.47404,4.66538
1.67663,-5.60914,6.48571,4.62483
1.68661,-5.60674,6.46671,4.63455
1.69659,-5.62201,6.42152,4.69201
1.70657,-5.5813,6.40296,4.70039
1.71655,-5.57562,6.36944,4.68393
1.72653,-5.50933,6.31976,4.64293
1.73651,-5.51127,6.33383,4.61645
1.74649,-5.5409,6.3862,4.62483
1.75647,-5.55826,6.40042,4.64353
1.76645,-5.59163,6.40236,4.63545
1.77643,-5.61123,6.45713,4.62976
1.78641,-5.6452,6.49244,4.63096
1.79639,-5.66675,6.5303,4.60612
1.80637,-5.6663,6.51115,4.60388
1.81635,-5.68066,6.48002,4.61809
1.82633,-5.68665,6.47553,4.66837
1.83631,-5.71717,6.47314,4.74424
1.84629,-5.76012,6.4058,4.77476
1.85627,-5.73917,6.39204,4.80409
1.86625,-5.72062,6.4091,4.81651
1.87623,-5.70894,6.37288,4.75471
1.88621,-5.6636,6.40446,4.739
1.89619,-5.67468,6.42795,4.69291
1.90617,-5.74246,6.46296,4.70533
1.91615,-5.79663,6.47464,4.7589
1.92613,-5.75414,6.45563,4.69785
1.93611,-5.64625,6.39668,4.62198
1.94609,-5.57771,6.36615,4.57619
1.95607,-5.54434,6.33099,4.60118
1.96605,-5.521,6.33383,4.62108
1.97603,-5.53028,6.30734,4.62572
1.98601,-5.53028,6.30734,4.62572
1.99599,-5.65582,6.33936,4.65341
2.00597,-5.64146,6.35867,4.64398
2.01595,-5.59253,6.4091,4.57305
2.02593,-5.57113,6.39683,4.48985
2.03591,-5.6437,6.46521,4.48507
2.04589,-5.70071,6.44351,4.5747
2.05587,-5.77149,6.41673,4.64503
2.06585,-5.77149,6.41673,4.64503
2.07583,-5.71643,6.46341,4.7179
2.08581,-5.71732,6.44396,4.66777
2.09579,-5.72885,6.43169,4.6579
2.10577,-5.77329,6.43394,4.71191
2.11575,-5.79289,6.40999,4.74035
2.12573,-5.75039,6.40356,4.76533
2.13571,-5.79035,6.40281,4.73795
2.14569,-5.85753,6.43768,4.72882
2.15567,-5.92981,6.49409,4.72164
2.16565,-5.94462,6.49873,4.73556
2.17563,-5.96901,6.51279,4.74454
2.18561,-5.97919,6.52013,4.76563
2.19559,-5.97919,6.52013,4.76563
2.20557,-5.89494,6.4465,4.69186
2.21555,-5.87848,6.38007,4.73586
2.22553,-5.87848,6.38007,4.73586
2.23551,-5.87714,6.30884,4.81307
2.24549,-5.82506,6.30734,4.83596
2.25547,-5.82506,6.30734,4.83596
2.26545,-5.76117,6.3434,4.75112
2.27543,-5.82192,6.40895,4.66044
2.28541,-5.82192,6.40895,4.66044
2.29539,-5.94103,6.49304,4.59445
2.30537,-5.94103,6.49304,4.59445
2.31535,-5.98787,6.53329,4.63126
2.32533,-5.98787,6.53329,4.63126
2.33531,-5.98772,6.48795,4.64832
2.34529,-5.98772,6.48795,4.64832
2.35527,-5.91365,6.43648,4.67465
2.36525,-5.88866,6.35388,4.77177
2.37523,-5.88866,6.35388,4.77177
2.38521,-5.88776,6.41388,4.80005
2.39519,-5.92233,6.42496,4.74394
2.40517,-5.97231,6.44082,4.72329
2.41515,-5.99685,6.46461,4.73451
2.42513,-6.02992,6.44261,4.73137
2.43511,-5.98787,6.46252,4.75875
2.44509,-5.95555,6.37917,4.75531
2.45507,-5.92667,6.35568,4.76115
2.46505,-5.88073,6.33936,4.75291
2.47503,-5.77209,6.28579,4.7369
2.48501,-5.70655,6.21487,4.73675
2.49499,-5.69458,6.20305,4.74439
2.50497,-5.72361,6.22669,4.74588
2.51495,-5.77838,6.24958,4.72029
2.52493,-5.83,6.30345,4.65146
2.53491,-5.85349,6.33173,4.62423
2.54489,-5.90617,6.38575,4.59849
2.55487,-5.90632,6.38815,4.59849
2.56485,-5.82925,6.33188,4.60807
2.57483,-5.78107,6.27053,4.62902
2.58481,-5.76222,6.24928,4.64877
2.59479,-5.76476,6.27562,4.64144
2.60477,-5.7908,6.24659,4.64802
2.61475,-5.8303,6.2439,4.69501
2.62473,-5.86532,6.28445,4.73451
2.63471,-5.89629,6.30555,4.72149
2.64469,-5.94133,6.33817,4.68663
2.65467,-5.90527,6.41239,4.63904
2.66465,-5.86157,6.42241,4.60896
2.67463,-5.87744,6.3886,4.59206
2.68461,-5.94866,6.42152,4.64742
2.69459,-6.01645,6.46611,4.65969
2.70457,-6.08438,6.47972,4.68663
2.71455,-6.14678,6.46715,4.70413
2.72453,-6.14633,6.47419,4.68498
2.73451,-6.06792,6.44606,4.62258
2.74449,-5.97575,6.42062,4.58442
2.75447,-5.94268,6.38007,4.52577
2.76445,-5.94417,6.39877,4.48477
2.77443,-5.96572,6.40326,4.48177
2.78441,-5.97275,6.38889,4.48417
2.79439,-5.95345,6.36046,4.4921
2.80437,-5.98996,6.38635,4.50048
2.81435,-6.02887,6.38845,4.52816
2.82433,-5.98996,6.37917,4.50287
2.83431,-5.94328,6.3461,4.47085
2.84429,-5.88282,6.30151,4.4704
2.85427,-5.81294,6.2617,4.4701
2.86425,-5.7263,6.18644,4.4921
2.87423,-5.71762,6.17013,4.53564
2.88421,-5.73543,6.1607,4.58068
2.89419,-5.77942,6.22235,4.58861
2.90417,-5.85738,6.25198,4.5313
2.91415,-5.89734,6.32515,4.46262
2.92413,-5.85544,6.32769,4.41339
2.93411,-5.78795,6.28804,4.41548
2.94409,-5.73573,6.23163,4.46037
2.95407,-5.68425,6.21352,4.51454
2.96405,-5.69473,6.19452,4.56243
2.97403,-5.77119,6.19901,4.65131
2.98401,-5.86142,6.2222,4.71117
2.99399,-5.94088,6.29028,4.6965
3.00397,-5.97934,6.27966,4.61181
3.01395,-5.97844,6.3247,4.5539
3.02393,-5.90632,6.35657,4.51963
3.03391,-5.87175,6.31857,4.49928
3.04389,-5.87489,6.29732,4.54013
3.05387,-5.90811,6.32126,4.61091
3.06385,-5.94133,6.3262,4.69381
3.07383,-5.98832,6.30211,4.76474
3.08381,-6.0347,6.2852,4.81382
3.09379,-6.057,6.32081,4.82743
3.10377,-6.06448,6.33278,4.83192
3.11375,-6.08693,6.33263,4.86963
3.12373,-6.09022,6.34715,4.89821
3.13371,-6.09411,6.35163,4.85976
3.14369,-6.07166,6.3874,4.8002
3.15367,-6.05775,6.37992,4.72628
3.16365,-6.00343,6.37543,4.66553
3.17363,-5.94567,6.388,4.64293
3.18361,-5.9756,6.39683,4.59415
3.19359,-6.01076,6.41523,4.5524
3.20357,-6.0154,6.44606,4.53055
3.21355,-6.02932,6.4052,4.5328
3.22353,-6.06104,6.37154,4.57545
3.23351,-6.0383,6.37872,4.52801
3.24349,-5.99804,6.37393,4.44766
3.25347,-5.96737,6.36181,4.37433
3.26345,-5.96467,6.39279,4.3477
3.27343,-5.9735,6.39727,4.31642
3.28341,-5.96856,6.37812,4.31897
3.29339,-6.03889,6.36795,4.36521
3.30337,-6.04653,6.34894,4.389
3.31335,-6.02962,6.33473,4.39199
3.32333,-5.975,6.31423,4.41758
3.33331,-5.99161,6.31393,4.41234
3.34329,-5.96557,6.33099,4.41533
3.35327,-5.97455,6.27592,4.42027
3.36325,-5.92876,6.22399,4.43613
3.37323,-5.91425,6.25273,4.41234
3.38321,-5.88656,6.23357,4.36775
3.39319,-5.90228,6.23312,4.32899
3.40317,-5.92637,6.24958,4.32825
3.41315,-5.94881,6.28535,4.34411
3.42313,-5.97799,6.2445,4.38451
3.43311,-5.97814,6.23971,4.39169
3.44309,-5.95315,6.24928,4.34186
3.45307,-5.91694,6.25452,4.32615
3.46305,-5.90003,6.20933,4.34605
3.47303,-5.88926,6.25991,4.36984
3.48301,-5.93549,6.25003,4.40232
3.49299,-5.96108,6.24704,4.37523
3.50297,-5.98293,6.25647,4.3866
3.51295,-5.98517,6.22055,4.39648
3.52293,-5.97425,6.20903,4.44466
3.53291,-5.97096,6.21666,4.49988
3.54289,-5.98637,6.21681,4.54253
3.55287,-5.99206,6.25991,4.55405
3.56285,-6.00597,6.23103,4.55629
3.57283,-6.02617,6.25003,4.58682
3.58281,-6.08453,6.26859,4.6163
3.59279,-6.17955,6.2822,4.6784
3.60277,-6.21487,6.29178,4.74199
3.61275,-6.24868,6.30091,4.75306
3.62273,-6.23941,6.28684,4.77012
3.63271,-6.2436,6.28415,4.74843
3.64269,-6.22998,6.29821,4.67451
3.65267,-6.16848,6.31767,4.59684
3.66265,-6.17851,6.27397,4.54193
3.67263,-6.15217,6.3054,4.52562
3.68261,-6.17222,6.31961,4.55599
3.69259,-6.19856,6.30016,4.56273
3.70257,-6.19586,6.30974,4.54597
3.71255,-6.16743,6.29343,4.56602
3.72253,-6.14573,6.2222,4.59819
3.73251,-6.13107,6.18659,4.60358
3.74248,-6.04383,6.17551,4.56288
3.75246,-5.994,6.17327,4.49
3.76244,-6.03964,6.22759,4.4692
3.77242,-6.11491,6.2626,4.4933
3.7824,-6.19945,6.26634,4.52217
3.79238,-6.2198,6.27128,4.56707
3.80236,-6.18988,6.23791,4.53459
3.81234,-6.14633,6.23597,4.52143
3.82232,-6.08334,6.23432,4.48955
3.8323,-6.00971,6.16564,4.45125
3.84228,-5.95495,6.14259,4.46965
3.85226,-5.98996,6.14723,4.52861
3.86224,-6.06942,6.12553,4.65595
3.87222,-6.13107,6.11102,4.7384
3.8822,-6.18539,6.14334,4.69351
3.89218,-6.25557,6.17776,4.61001
3.90216,-6.25721,6.2228,4.55689
3.91214,-6.23432,6.22519,4.50482
3.92212,-6.20963,6.19661,4.48656
3.9321,-6.18135,6.19945,4.50167
3.94208,-6.13631,6.23357,4.50018
3.95206,-6.12763,6.17611,4.47444
3.96204,-6.12464,6.1402,4.46756
3.97202,-6.06508,6.13631,4.47639
3.982,-6.05281,6.12209,4.47684
3.99198,-6.05505,6.11012,4.47684
4.00196,-6.06972,6.079,4.50063
4.01194,-6.11356,6.09531,4.52816
4.02192,-6.10818,6.09276,4.50437
4.0319,-6.09665,6.15262,4.48746
4.04188,-6.10758,6.18329,4.43419
4.05186,-6.09127,6.19078,4.44421
4.06184,-6.11281,6.19766,4.44347
4.07182,-6.20035,6.19676,4.49629
4.0818,-6.27233,6.18644,4.51365
4.09178,-6.29028,6.21038,4.54657
4.10176,-6.27397,6.19167,4.57829
