time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-5.59627,6.38695,4.83192
0.00998148,-5.67543,6.40326,4.92784
0.019963,-5.79469,6.32844,5.04755
0.0299444,-5.81983,6.37842,5.07284
0.0399259,-5.70101,6.3265,4.93502
0.0499074,-5.57068,6.30809,4.80678
0.0598889,-5.52818,6.33443,4.72149
0.0698704,-5.55198,6.33398,4.71356
0.0798519,-5.59343,6.34326,4.73885
0.0898333,-5.63098,6.36705,4.79751
0.0998148,-5.60001,6.46057,4.75217
0.109796,-5.61378,6.47928,4.72044
0.119778,-5.59657,6.47688,4.70189
0.129759,-5.64789,6.44321,4.76294
0.139741,-5.61078,6.45354,4.80469
0.149722,-5.62275,6.36989,4.84808
0.159704,-5.64655,6.3458,4.85721
0.169685,-5.6434,6.37243,4.90734
0.179667,-5.65148,6.39413,4.93338
0.189648,-5.6639,6.34086,4.87831
0.19963,-5.64924,6.40775,4.83267
0.209611,-5.6238,6.39338,4.78075
0.219593,-5.64445,6.42376,4.72972
0.229574,-5.55153,6.44351,4.63859
0.239556,-5.49272,6.47658,4.46741
0.249537,-5.4577,6.43618,4.4279
0.259519,-5.47207,6.44785,4.42267
0.2695,-5.52549,6.41882,4.46935
0.279481,-5.61886,6.39054,4.39049
0.289463,-5.72286,6.4682,4.39902
0.299444,-5.8291,6.52432,4.40546
0.309426,-5.89809,6.62412,4.43643
0.319407,-5.92607,6.58058,4.42641
0.329389,-5.88941,6.57848,4.40112
0.33937,-5.7875,6.54601,4.35847
0.349352,-5.76117,6.41224,4.33378
0.359333,-5.86202,6.48855,4.50063
0.369315,-6.21053,6.36376,4.43494
0.379296,-6.39952,6.36839,4.43479
0.389278,-6.50367,6.50157,4.51245
0.399259,-6.58686,6.62248,4.52367
0.409241,-6.57699,6.68143,4.38226
0.419222,-6.50875,6.69565,4.22814
0.429204,-6.39937,6.65061,4.09002
0.439185,-6.30749,6.60632,4.07356
0.449167,-6.25138,6.4899,4.08793
0.459148,-6.21382,6.38096,4.17352
